Code,Title1,Title,Name,Des,Tag,Pro,Time,Course,Credit
367407,전공,ar/vr전공,데이터베이스이론및실습,"데이터베이스의 기본개념과 일반 이론에 대하여 학습하며, 데이터베이스 모델을 설계한다.","실습,중간시험,기말시험",이창은,"수5,6,7,8",3학점,0
685002,전공,ar/vr전공,UI/UX디자인,스마트폰에서 사용되는 모바일UI/UX디자인을 중심으로 한 디자인 기초이론과 개발 프로세스를 익힌다.,"실습,발표",백순화,"화5,6,7",3학점,3.93
957601,전공,ar/vr전공,인공지능,인공지능의 기본적인 기술동향과 이론을 공부하고 파이썬을 사용하여 머신러닝과 딥러닝의 개념들을 익힌다.,"실습,중간시험,기말시험",차대현,"수1,2,3",3학점,4.77
399101,전공,ar/vr전공,3D모델링,xr콘텐츠 제작에 필요한 3d그래픽 툴인 3dsmax의 사용법을 배우고 3d캐릭터와 사물을 모델링한다.,"발표,기말시험",김현숙,"화2,3,4",3학점,5
959501,전공,ar/vr전공,유니티엔진,ar/vr에 특화된 라이브러리를 지원하므로 쉽고 빠르게 양질의 콘텐츠를 제작할 수 있게 한다.,"팀플,실습",진영훈,"화2,3,4",3학점,4.8
959901,전공,ar/vr전공,언리얼엔진,그래픽 기술과 함께ar/vr콘텐츠를 실사에 가깝게 빠르고 정교하게 만들 수있는 최고의 3D가시화 툴을 익힌다.,"팀플,실습",진영훈,"화5,6,7",3학점,0
960101,전공,ar/vr전공,안드로이드프로그래밍,"모바일 기반 창의적인 앱 개발 능력을 배양하고, 모바일ar/vr개발에 활용할 수있는 기술을 학습한다.","중간시험,팀플,실습,발표",구민정,"수4,5,6",3학점,3.5
3007001,전공,핀테크전공,첨단기술의이해,"빅데이터분석,iot,첨단로봇공학,청정에너지기술등 첨단기술을 학습하는 발표&토론중심의 과목.","중간시험,기말시험",채규수,"목5,6",3학점,0
3007002,전공,핀테크전공,첨단기술의이해,"빅데이터분석,iot,첨단로봇공학,청정에너지기술등 첨단기술을 학습하는 발표&토론중심의 과목.","발표,중간시험,기말시험",신은정,"금4,5,6",3학점,0
3007201,전공,핀테크전공,핀테크투자론,"금융자산, 위험과 기대수익률, 포트폴리오 이론, 주식가치평가 등에 대해 살펴본다.","중간시험,기말시험,퀴즈",강상규,"화2,3,4",3학점,0
3007401,전공,핀테크전공,핀테크 서비스 모델링,핀테크 기업및서비스에 대한 이해를 바탕으로 기존 금용서비스의 문제점 및 개선점을 파악한다.,"기말시험,실습",신은정,"월7,8,9",3학점,0
3007701,전공,핀테크전공,수리통계학,"확률이론을 기반으로 통계적 현상을 분석,복잡한 통계 모델의 수학적 특성과 성질을 연구한다.","중간시험,기말시험,실습",김동우,"수1,2,3",3학점,0
3007801,전공,핀테크전공,금융공학,"금융제품, 시장 및 금융시스템을 이해하고 설계하는 데 수학적,통계적등 기술을 학습한다.","중간시험,기말시험",지세현,"화5,6,7",3학점,0
3008201,전공,핀테크전공,금융데이터 분석,금융데이터를 분석할 수 있는 기본적인 기술과 방법론에 대해 학습한다.,"중간시험,기말시험",지세현,"목5,6,7",3학점,0
367002,전공,핀테크전공,c언어프로그래밍,C언어의 문법을 익혀서 응용프로그램을 개발할 수 있는 전공의 ICT기반 능력을 함양.,"실습,중간시험,기말시험",구미순,"월7,8,9",3학점,0
367003,전공,핀테크전공,c언어프로그래밍,C언어의 문법을 익혀서 응용프로그램을 개발할 수 있는 전공의 ICT기반 능력을 함양.,"실습,중간시험,기말시험",구미순,"화7,8,9",3학점,0
